href,restaurantName,tags,address,schedule,latitude,longitude
https://www.ubereats.com/mx/store/house-roll-forum-buenavista/_9kWwSpZX1itOPCMHWbApw,House Roll (Forum Buenavista),4.5 xStar (600+) • Japonesa • Sushi • $$$ • Información,"EJE 1 NORTE MOSQUETA 259, LOCAL N1-32

BUENAVISTA, LATAM",Domingo - Jueves11:00 a.m. - 9:30 p.m.Viernes - Sábado11:00 a.m. - 10:30 p.m.,19.4504985,-99.1514621
https://www.ubereats.com/mx/store/quesadillas-la-gordita-feliz/LvxVlnrORdGNyQk9pupn-g,Quesadillas La Gordita Feliz,"4.6 xStar (4,000+) • Mexicana • Comida económica • $ • Información","Laguna de Términos 456, Local B,Ciudad de México

Mexico City,",Todos los días4:30 p.m. - 11:59 p.m.,19.4423233,-99.1740786
https://www.ubereats.com/mx/store/rossy-r%26a/aIKqMAneSA-Khl9DGK-EFA,Rossy R&A,4.9 xStar (800+) • Mexicana • Latinoamericana • Comida rápida • Comida económica • $ • Información,"Lerdo 284, edificio Presidente Juarez, Local 23

Mexico City,",Domingo5:00 p.m. - 10:45 p.m. • DomingoLunes - Martes9:30 a.m. - 12:30 p.m. • Desayunos2:00 p.m. - 4:00 p.m. • Comidas12:30 p.m. - 2:00 p.m. • Postres y bebidasMiércolesJueves - Viernes9:30 a.m. - 12:30 p.m. • Desayunos2:00 p.m. - 4:00 p.m. • Comidas8:00 p.m. - 10:45 p.m. • Antojitos12:30 p.m. - 2:00 p.m. • Postres y bebidasSábado6:00 p.m. - 10:45 p.m. • Sábados,19.453463252852014,-99.14140503868688
https://www.ubereats.com/mx/store/pozoleria-el-guerrerense/7rrwhHQ5SAGLti8WQD8xGA,Pozolería El Guerrerense,"4.6 xStar (3,000+) • Mexicana • Latinoamericana • Fusión latina • $$ • Información","Oriente 249-b 158 sur 12

, CDMX",Domingo - Lunes1:00 p.m. - 10:00 p.m.MartesMiércoles - Sábado1:00 p.m. - 10:00 p.m.,19.3962482,-99.0665792
https://www.ubereats.com/mx/store/porton-plaza-oriente/RDww0BWVSRKf3fPH0loEUQ,Portón (Plaza Oriente),"4.5 xStar (3,000+) • Mexicana • Desayuno y brunch • Ambiente familiar • Family Meals • $$$ • Información","Av Canal de Tezontle 1520, Área Federal Central de Abastos

Mexico City,",Domingo8:00 a.m. - 9:00 p.m.Lunes - Sábado8:00 a.m. - 9:30 p.m.,19.3830699,-99.0784879
https://www.ubereats.com/mx/store/perros-y-burros-plaza-central/CmctNvcAQaOb9B9Wi1aacQ,Perros y Burros ( Plaza Central ),4.3 xStar (600+) • Mexicana • Tacos • Tacos • $$$ • Información,"Canal Río Churubusco 1635, Área Federal Central de Abastos, Iztapalapa, Ciudad de México, México

Mexico City, CDMX",Todos los días10:00 a.m. - 10:30 p.m.,19.3755453,-99.0956491
https://www.ubereats.com/mx/store/food-factory-gourmet/004Dd9HjQxOPWQiCgTAUvA,Food Factory Gourmet,"4.8 xStar (1,000+) • Mexicana • Tacos • Hamburguesas • Ensaladas • Comida económica • Pasta • BBQ • Pollo • Perros calientes • Alitas • Burritos • $ • Información","Avenida Javier Rojo Gómez 469 Agrícola Oriental

Mexico City, Mexico City",Domingo12:00 p.m. - 8:00 p.m.Lunes - Sábado12:00 p.m. - 9:00 p.m.,19.3893316,-99.0746605
https://www.ubereats.com/mx/store/sushi-tanoshimi-caracol-mexico-city/0vhv8SVUWPe2666LDtlNWw,SUSHI Tanoshimi Caracol (Mexico City),4.5 xStar (12) • Asiática fusión • Asiática • Información,"Av. Camarón 76

,",DomingoLunes - Sábado12:30 p.m. - 7:30 p.m.,19.424717,-99.0702115
https://www.ubereats.com/mx/store/taqueria-lolita/C6xROUfwSI6TT3fKgFzzig,Taqueria Lolita,"4.7 xStar (6,000+) • Mexicana • Tacos • Tacos • $$ • Información","Calz Ignacio Zaragoza 341

Venustiano Carranza, CMX",Todos los días10:00 a.m. - 11:59 p.m.,19.4197011,-99.0969715
https://www.ubereats.com/mx/store/lucky-sushi-neza/WGHAMa6fWnWzJuWHa6Zu4g,Lucky Sushi (Neza),"4.4 xStar (1,500+) • Japonesa • Asiática • Sushi • Información","Calle Flor 101 MZ 436 LT 25

Nezahualcóyotl, LATAM",Todos los días12:30 p.m. - 10:45 p.m.,19.3972468,-98.9963473
https://www.ubereats.com/mx/store/abbiamo-coyoacan-mexico-city/R2a0NwPxQp6C-Fd349EOew,,,,,,
https://www.ubereats.com/mx/store/franco-cocina-honesta-san-angel/MUWqd02ES4KqijtPCgt8Cg,,,,,,
