url,nombre,tags,direccion,rating,lunes,martes,miercoles,jueves,viernes,sabado,domingo,geometry,contRating,rangPrec
https://www.ubereats.com/mx/store/las-kecas-de-los-pinos-mexico-city/PlE-A5pLQGejSy5LDvyqpw,LAS KECAS DE LOS PINOS (Mexico City),['Mexicana'],"AVENIDA DOS #49, LOCAL B Ciudad de México, DF",4.9,5:00 p.m. - 10:20 p.m.,5:00 p.m. - 10:20 p.m.,5:00 p.m. - 10:20 p.m.,5:00 p.m. - 10:20 p.m.,5:00 p.m. - 11:00 p.m.,5:00 p.m. - 11:00 p.m.,5:00 p.m. - 10:20 p.m.,POINT (-99.1837895 19.3932041),51,
https://www.ubereats.com/mx/store/indian-grill-condesa/sEjJU-xgWXqcu5UZph9CpQ,Indian Grill Condesa,"['India', 'Vegetariana', 'Asiática']","Avenida Tamaulipas 147 Cuauhtémoc, DF",4.5,1:00 p.m. - 10:00 p.m.,1:00 p.m. - 10:00 p.m.,1:00 p.m. - 10:00 p.m.,1:00 p.m. - 10:00 p.m.,1:00 p.m. - 10:00 p.m.,1:00 p.m. - 10:00 p.m.,1:00 p.m. - 10:00 p.m.,POINT (-99.1758976 19.4091528),380+,$$$
https://www.ubereats.com/mx/store/goyos-burgers-vegano/ATd8UIVdS46WrqlCIF_d6g,Goyo's Burgers (vegano),"['Vegana', 'Saludable', 'Hamburguesas']","Texas 43 Benito Juárez, Mexico City",4.8,12:30 p.m. - 9:45 p.m.,12:30 p.m. - 9:45 p.m.,12:30 p.m. - 9:45 p.m.,12:30 p.m. - 9:45 p.m.,12:30 p.m. - 9:45 p.m.,12:30 p.m. - 9:45 p.m.,12:30 p.m. - 9:45 p.m.,POINT (-99.1774785 19.3926956),"3,000+",$$$
https://www.ubereats.com/mx/store/punta-de-queso/JnYRZzKGSYCazBdQ7Dp7ug,Punta De Queso ,"['Postres', 'Postres']","Camino real a toluca 11 bellavista Ciudad de México, DF",4.4,cerrado,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 11:00 p.m.,POINT (-99.19190181741745 19.39650302714689),"2,000+",$
https://www.ubereats.com/mx/store/los-antojos-del-burgues/bgUUcOImSfKa1mT-E9wGHQ,Los Antojos Del Burgues ,"['Postres', 'Café y té', 'Americana']","Avenida camino real a toluca #11 esquina casi con zenzontle Álvaro Obregón, DF",4.0,cerrado,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 1:30 a.m.,5:00 p.m. - 11:00 p.m.,POINT (-99.1918514 19.3964424),280+,$
https://www.ubereats.com/mx/store/farina-lomas/trlY4taCVGm0MetZ4drCGQ,Farina Lomas,"['Pizza', 'Italiana', 'Exclusivo de Uber\xa0Eats']","Monte Líbano 13-A Miguel Hidalgo, LATAM",4.6,1:00 p.m. - 10:40 p.m.,1:00 p.m. - 10:40 p.m.,1:00 p.m. - 10:40 p.m.,1:00 p.m. - 10:40 p.m.,1:00 p.m. - 11:30 p.m.,1:00 p.m. - 11:30 p.m.,1:00 p.m. - 9:30 p.m.  ,POINT (-99.2150132 19.4181992),"1,000+",$$$$
https://www.ubereats.com/mx/store/hayito-mexico-city/nnWS1XyVRAyqqryVhmFCGA,Hayito (Mexico City),"['Árabe', 'Especialidades', 'De Medio Oriente', 'De Medio Oriente']","Calle Gabriel Mancera 501, Col del Valle Nte Del Valle Norte, Ciudad de México",4.8,1:00 p.m. - 12:40 a.m. menú ,12:00 a.m. - 12:45 a.m. menú | 1:00 p.m. - 12:40 a.m. menú,12:00 a.m. - 12:45 a.m. menú | 1:00 p.m. - 12:40 a.m. menú,12:00 a.m. - 12:45 a.m. menú | 1:00 p.m. - 12:40 a.m. menú,12:00 a.m. - 12:45 a.m. menú | 1:00 p.m. - 12:40 a.m. menú,12:00 a.m. - 12:45 a.m. menú | 1:00 p.m. - 12:40 a.m. menú,1:00 p.m. - 10:45 p.m. menú,POINT (-99.163335 19.3905022),"7,000+",$$
https://www.ubereats.com/mx/store/fruteria-y-loncheria-lima-limon-pennsylvania-mexico-city/XqtY7rtsX6WFeoLHfkUCvw,Frutería y lonchería lima Limón Pennsylvania (Mexico City),"['Mexicana', 'Latinoamericana', 'Mexicana']","calle de Pennsylvania 214, Colonia Ampliación Nápoles, en la Alcaldía Benito Juárez. Benito Juarez, LATAM",4.7,12:00 a.m. - 11:59 p.m.,12:00 a.m. - 11:59 p.m.,12:00 a.m. - 11:59 p.m.,12:00 a.m. - 11:59 p.m.,12:00 a.m. - 11:59 p.m.,12:00 a.m. - 11:59 p.m.,12:00 a.m. - 11:59 p.m.,POINT (-99.1772864 19.38755),"1,500+",
https://www.ubereats.com/mx/store/el-naranjito/rIW4SZGLSFiMdxzDSOWPkg,El Naranjito,"['Mexicana', 'Gourmet', 'Comida económica', 'Tacos', 'Tacos']","Enrique Rébsamen 636, Narvarte Poniente Ciudad de México, Ciudad de México",4.6,1:00 p.m. - 10:30 p.m.,1:00 p.m. - 10:30 p.m.,1:00 p.m. - 10:30 p.m.,1:00 p.m. - 10:30 p.m.,1:00 p.m. - 11:00 p.m.,1:00 p.m. - 11:00 p.m.,1:00 p.m. - 10:30 p.m.,POINT (-99.1592359 19.3898602),"15,000+",$$
https://www.ubereats.com/mx/store/la-ramona-de-los-tuetanos/3jVgODYsRqWmNQNZ7m-Xmg,La Ramona de los Tuétanos ,"['Comfort Food', 'Hamburguesas', 'Mexicana']","Eje 4 Sur Tehuantepec 144 Mexico City, Mexico City",4.7,11:00 a.m. - 10:00 p.m.  ,1:00 p.m. - 9:41 p.m.,1:00 p.m. - 9:41 p.m.,1:00 p.m. - 1:00 a.m.,1:00 p.m. - 1:00 a.m.,1:00 p.m. - 1:00 a.m.,1:00 p.m. - 10:00 p.m.,POINT (-99.1627823 19.4048196),350+,$$
